id,name,eps,bps,per,pbr
130960,CJ E&M,"6301,333333",54068,"15,69509099","1,829178072"
136480,Harim Co.,"274,1666667",3551,"11,4893617","0,8870740636"
138040,Meritz Financial Group,"2122,333333",14894,"6,31380556","0,8996911508"
139480,E-mart,"18268,16667",295780,"13,93133776","0,8604368111"
145990,Samyang,5741,108090,"14,28322592","0,75862707"
161390,Hankook Tire,"5648,5",51341,"7,453306187","0,8200074015"
181710,NHN Entertainment,"2110,166667",78434,"30,75586447","0,8274472805"
185750,Chong Kun Dang,"3990,333333",40684,"25,18586584","2,470258578"
204210,Mode Tour Reit,"85,16666667",5335,"40,80234834","0,6513589503"
207940,Samsung BioLogics,"4644,166667",60099,"89,79005921","6,93855139"
